stock,stock_time,gt_sentiment,pseudo_gt
AACG,2019/4/11 0:00,Bearish,Bearish
AACG,2021/2/5 0:00,Bearish,Bearish
AADI,2021/11/29 0:00,Bearish,Bearish
AADI,2021/8/16 0:00,Bearish,Bearish
AADI,2021/8/18 0:00,Bearish,Bearish
AAL,2019/8/19 0:00,Bullish,Bullish
AAL,2020/11/10 0:00,Bearish,Bearish
AAL,2020/12/4 0:00,Bullish,Bullish
AAL,2020/12/7 0:00,Bullish,Bullish
AAL,2020/12/8 0:00,Bullish,Bearish
AAL,2020/5/6 0:00,Bearish,Bearish
AAL,2020/5/8 0:00,Bullish,Bullish
AAL,2020/6/12 0:00,Bullish,Bullish
AAL,2020/6/15 0:00,Bearish,Bullish
AAL,2020/6/18 0:00,Bearish,Bearish
AAL,2020/6/24 0:00,Bearish,Bearish
AAL,2020/6/30 0:00,Bearish,Bearish
AAL,2020/7/1 0:00,Bearish,Bearish
AAL,2020/7/16 0:00,Bearish,Bearish
AAL,2020/7/17 0:00,Bearish,Bearish
AAL,2020/7/2 0:00,Bearish,Bearish
AAL,2020/7/20 0:00,Bearish,Bearish
AAL,2020/7/24 0:00,Bearish,Bearish
AAL,2020/7/6 0:00,Bullish,Bullish
AAL,2021/1/21 0:00,Bearish,Bearish
AAL,2021/1/29 0:00,Bearish,Bearish
AAL,2021/1/4 0:00,Bearish,Bearish
AAL,2021/10/29 0:00,Bullish,Bearish
AAL,2021/11/15 0:00,Bullish,Bullish
AAL,2021/11/17 0:00,Bullish,Bullish
AAL,2021/11/22 0:00,Bullish,Bullish
AAL,2021/11/5 0:00,Bullish,Bullish
AAL,2021/12/14 0:00,Bearish,Bearish
AAL,2021/3/1 0:00,Bullish,Bullish
AAL,2021/4/30 0:00,Bullish,Bullish
AAL,2021/4/9 0:00,Bearish,Bearish
AAL,2021/9/24 0:00,Bullish,Bullish
AAL,2021/9/27 0:00,Bullish,Bullish
AAL,2022/3/7 0:00,Bearish,Bearish
AAL,2022/3/8 0:00,Bullish,Bearish
AAL,2022/6/13 0:00,Bearish,Bearish
AAL,2022/6/27 0:00,Bearish,Bearish
AAL,2023/7/31 0:00,Bearish,Bearish
AAL,2023/8/1 0:00,Bearish,Bearish
AAP,2023/6/5 0:00,Bearish,Bearish
AAPL,2019/1/10 0:00,Bullish,Bearish
AAPL,2019/1/16 0:00,Bullish,Bullish
AAPL,2019/1/3 0:00,Bearish,Bearish
AAPL,2019/10/18 0:00,Bullish,Bearish
AAPL,2019/10/21 0:00,Bullish,Bullish
AAPL,2019/10/23 0:00,Bullish,Bullish
AAPL,2019/10/24 0:00,Bullish,Bullish
AAPL,2019/10/25 0:00,Bullish,Bullish
AAPL,2019/10/28 0:00,Bullish,Bullish
AAPL,2019/10/31 0:00,Bullish,Bullish
AAPL,2019/11/11 0:00,Bullish,Bullish
