stock,stock_time,gt_sentiment,pseudo_gt
ABBV,2022/4/14 0:00,Bullish,Bullish
ABBV,2022/4/19 0:00,Bearish,Bullish
ABBV,2022/4/6 0:00,Bullish,Bullish
ABBV,2022/4/8 0:00,Bullish,Bullish
ABT,2020/3/31 0:00,Bearish,Bearish
ABT,2020/4/23 0:00,Bearish,Bearish
ABT,2020/8/28 0:00,Bearish,Bearish
ABT,2020/8/5 0:00,Bullish,Bearish
ABT,2022/5/16 0:00,Bearish,Bearish
ALB,2023/4/6 0:00,Bearish,Bearish
ALB,2023/9/21 0:00,Bearish,Bearish
ALK,2021/12/20 0:00,Bearish,Bearish
AZO,2019/1/18 0:00,Bullish,Bullish
BA,2019/2/25 0:00,Bullish,Bullish
BA,2019/3/1 0:00,Bullish,Bullish
BA,2019/3/11 0:00,Bearish,Bearish
BA,2019/3/12 0:00,Bearish,Bearish
BA,2019/3/13 0:00,Bullish,Bullish
BA,2019/3/15 0:00,Bullish,Bullish
BA,2019/3/19 0:00,Bullish,Bullish
BA,2019/3/20 0:00,Bullish,Bullish
BA,2019/3/8 0:00,Bearish,Bearish
BA,2019/4/11 0:00,Bullish,Bearish
BA,2019/4/9 0:00,Bearish,Bearish
BA,2019/5/22 0:00,Bearish,Bearish
BA,2019/9/24 0:00,Bullish,Bullish
BA,2019/9/26 0:00,Bullish,Bullish
BA,2019/9/30 0:00,Bearish,Bullish
BA,2020/1/10 0:00,Bearish,Bearish
BA,2020/1/8 0:00,Bearish,Bearish
BA,2020/10/12 0:00,Bullish,Bullish
BA,2020/10/27 0:00,Bearish,Bearish
BA,2020/10/29 0:00,Bullish,Bearish
BA,2020/11/10 0:00,Bullish,Bullish
BA,2020/11/12 0:00,Bearish,Bearish
BA,2020/11/19 0:00,Bullish,Bullish
BA,2020/11/24 0:00,Bullish,Bullish
BA,2020/11/25 0:00,Bearish,Bullish
BA,2020/11/5 0:00,Bullish,Bullish
BA,2020/12/28 0:00,Bearish,Bearish
BA,2020/12/31 0:00,Bearish,Bearish
BA,2020/2/3 0:00,Bearish,Bearish
BA,2020/3/12 0:00,Bearish,Bearish
BA,2020/3/17 0:00,Bearish,Bearish
BA,2020/3/19 0:00,Bearish,Bearish
BA,2020/3/25 0:00,Bullish,Bearish
BA,2020/3/26 0:00,Bullish,Bearish
BA,2020/3/27 0:00,Bearish,Bearish
BA,2020/3/3 0:00,Bearish,Bearish
BA,2020/3/30 0:00,Bearish,Bearish
BA,2020/3/31 0:00,Bearish,Bearish
BA,2020/3/5 0:00,Bearish,Bearish
BA,2020/3/9 0:00,Bearish,Bearish
BA,2020/4/1 0:00,Bearish,Bearish
BA,2020/4/13 0:00,Bearish,Bullish
BA,2020/4/17 0:00,Bullish,Bullish
BA,2020/4/2 0:00,Bearish,Bullish
BA,2020/4/20 0:00,Bearish,Bearish
BA,2020/4/27 0:00,Bearish,Bearish
BA,2020/4/30 0:00,Bullish,Bullish
